ObjSize,Workers,Op-Type,Op-Count,Byte-Count ,Avg-ResTime,Avg-ProcTime,60%-ResTime ,80%-ResTime,90%-ResTime,95%-ResTime,99%-ResTime ,100%-ResTime,Throughput,Bandwidth,Succ-Ratio
4096K,192,read,97116,397787136000,236.73,215.71,200,290,420,590,1380,7720,810.98,3321784080.1,100%
1024K,096,read,87615,89717760000,131.35,126.74,120,180,240,310,590,3200,730.79,748326664.42,100%
8192K,024,read,22329,182919168000,128.88,52.65,140,160,180,190,230,390,186.18,1525207810.74,100%
0064K,048,read,75458,4829312000,76.3,76.04,80,110,140,170,260,4730,629.01,40256753.08,100%
0256K,144,read,97306,24910336000,177.36,176.23,150,230,330,460,1090,6890,811.86,207836268.98,100%
0064K,144,read,102025,6529600000,169.07,168.8,150,220,320,440,950,3970,851.66,54506029.53,100%
0004K,256,read,110007,440028000,276.27,276.03,170,280,450,730,3480,12410,926.56,3706246.61,100%
8192K,312,read,46378,379928576000,798.32,383.7,580,920,1520,2510,5690,12890,390.81,3201509641.08,100%
0004K,048,read,79286,317144000,72.62,72.32,80,110,130,160,240,900,660.92,2643682.5,100%
4096K,024,read,41929,171741184000,68.64,49.75,80,90,100,110,140,300,349.55,1431751687.83,100%
0004K,408,read,114276,457104000,407.03,406.78,190,330,560,990,6970,40500,1000.71,4002854.31,100%
1024K,312,read,100796,103215104000,363.42,358.75,210,340,570,1050,5240,13300,858.35,878955421.45,100%
0256K,256,read,102466,26231296000,295.75,294.63,190,310,490,780,3450,15870,865.75,221631726.72,100%
4096K,096,read,83841,343412736000,137.28,116.86,140,180,230,290,480,1730,699.18,2863835640.89,100%
4096K,240,read,98031,401534976000,292.67,271.61,210,330,480,740,2370,12020,819.98,3358641539.56,100%
0016K,096,read,96027,1536432000,119.89,119.81,120,170,230,300,530,2200,800.69,12811075.18,100%
0016K,256,read,109230,1747680000,279.42,279.34,180,300,490,800,2910,11990,916.16,14658487.69,100%
0256K,288,read,102105,26138880000,334.01,332.89,190,320,510,880,4670,14510,862.06,220687030.42,100%
0004K,144,read,105414,421656000,163.73,163.47,140,210,310,440,1020,4810,879.46,3517840.55,100%
0016K,024,read,55683,890928000,51.7,51.63,60,80,90,110,140,310,464.12,7425964.34,100%
0256K,360,read,103465,26487040000,403.03,401.89,190,310,500,870,7670,30220,893.89,228835827.69,100%
0064K,024,read,55112,3527168000,52.23,51.97,60,80,90,110,140,300,459.38,29400450.74,100%
8192K,288,read,45651,373972992000,750.11,370.84,500,760,1190,2110,7640,21620,383.97,3145479686.15,100%
4096K,048,read,64398,263774208000,89.39,69.75,90,120,140,160,220,1120,536.86,2198964132.96,100%
8192K,144,read,43538,356663296000,396.01,185.29,370,500,660,840,1530,5540,363.61,2978669214.42,100%
0064K,336,read,106023,6785472000,368.56,368.29,190,300,490,830,6900,20360,910.5,58272295.71,100%
4096K,360,read,99667,408236032000,424.21,403.06,230,360,580,970,7460,26310,848.05,3473613007.61,100%
0256K,096,read,90935,23279360000,126.56,125.43,120,170,230,310,560,2770,758.45,194163132.76,100%
1024K,336,read,100847,103267328000,382.72,378.05,200,330,530,880,4100,34420,876.26,897286827.22,100%
8192K,048,read,31992,262078464000,179.89,77.73,190,230,260,300,380,720,266.8,2185658685.02,100%
4096K,144,read,92075,377139200000,187.41,166.66,170,240,320,440,910,5550,768.27,3146837154.51,100%
8192K,384,read,46256,378929152000,962.14,463.05,560,890,1500,3040,10800,47150,399.02,3268752987.96,100%
