Id,Name,Submitted-At,Started-At,Stopped-At,Op-Info,State,Detailed State
w60,HARRIER_W288_OBJ1024K,2020-01-14 15:55:06,2020-01-16 05:33:28,2020-01-16 06:17:50,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:06,processing @ 2020-01-16 05:33:28,finished @ 2020-01-16 06:17:50
w61,HARRIER_W312_OBJ1024K,2020-01-14 15:55:06,2020-01-16 06:17:51,2020-01-16 07:01:48,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:06,processing @ 2020-01-16 06:17:51,finished @ 2020-01-16 07:01:48
w62,HARRIER_W336_OBJ1024K,2020-01-14 15:55:07,2020-01-16 07:01:49,2020-01-16 07:45:46,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:07,processing @ 2020-01-16 07:01:49,finished @ 2020-01-16 07:45:46
w63,HARRIER_W360_OBJ1024K,2020-01-14 15:55:07,2020-01-16 07:45:47,2020-01-16 08:29:30,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:07,processing @ 2020-01-16 07:45:47,finished @ 2020-01-16 08:29:30
w64,HARRIER_W384_OBJ1024K,2020-01-14 15:55:07,2020-01-16 08:29:30,2020-01-16 09:13:53,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:07,processing @ 2020-01-16 08:29:30,finished @ 2020-01-16 09:13:53
w65,HARRIER_W408_OBJ1024K,2020-01-14 15:55:08,2020-01-16 09:13:53,2020-01-16 09:57:51,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:08,processing @ 2020-01-16 09:13:53,finished @ 2020-01-16 09:57:51
w66,HARRIER_W024_OBJ4096K,2020-01-14 15:55:08,2020-01-16 09:57:51,2020-01-16 11:03:49,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:08,processing @ 2020-01-16 09:57:51,finished @ 2020-01-16 11:03:49
w67,HARRIER_W048_OBJ4096K,2020-01-14 15:55:08,2020-01-16 11:03:49,2020-01-16 12:09:07,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:08,processing @ 2020-01-16 11:03:49,finished @ 2020-01-16 12:09:07
w68,HARRIER_W096_OBJ4096K,2020-01-14 15:55:08,2020-01-16 12:09:08,2020-01-16 13:13:45,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:08,processing @ 2020-01-16 12:09:08,finished @ 2020-01-16 13:13:45
w69,HARRIER_W144_OBJ4096K,2020-01-14 15:55:09,2020-01-16 13:13:46,2020-01-16 14:18:58,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:09,processing @ 2020-01-16 13:13:46,finished @ 2020-01-16 14:18:58
w70,HARRIER_W192_OBJ4096K,2020-01-14 15:55:09,2020-01-16 14:18:59,2020-01-16 15:24:42,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:09,processing @ 2020-01-16 14:18:59,finished @ 2020-01-16 15:24:42
w71,HARRIER_W240_OBJ4096K,2020-01-14 15:55:09,2020-01-16 15:24:42,2020-01-16 16:29:55,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:09,processing @ 2020-01-16 15:24:42,finished @ 2020-01-16 16:29:55
w72,HARRIER_W256_OBJ4096K,2020-01-14 15:55:09,2020-01-16 16:29:55,2020-01-16 17:35:28,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:09,processing @ 2020-01-16 16:29:55,finished @ 2020-01-16 17:35:28
w73,HARRIER_W288_OBJ4096K,2020-01-14 15:55:10,2020-01-16 17:35:28,2020-01-16 18:41:16,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:10,processing @ 2020-01-16 17:35:28,finished @ 2020-01-16 18:41:16
w74,HARRIER_W312_OBJ4096K,2020-01-14 15:55:10,2020-01-16 18:41:17,2020-01-16 19:47:24,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:10,processing @ 2020-01-16 18:41:17,finished @ 2020-01-16 19:47:24
w75,HARRIER_W336_OBJ4096K,2020-01-14 15:55:10,2020-01-16 19:47:25,2020-01-16 20:54:37,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:10,processing @ 2020-01-16 19:47:25,finished @ 2020-01-16 20:54:37
w76,HARRIER_W360_OBJ4096K,2020-01-14 15:55:10,2020-01-16 20:54:38,2020-01-16 22:00:21,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:10,processing @ 2020-01-16 20:54:38,finished @ 2020-01-16 22:00:21
w77,HARRIER_W384_OBJ4096K,2020-01-14 15:55:11,2020-01-16 22:00:21,2020-01-16 23:05:24,init prepare write read cleanup dispose,finished,queuing @ 2020-01-14 15:55:11,processing @ 2020-01-16 22:00:21,finished @ 2020-01-16 23:05:24
