zfs_config,timestamp,pattern,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
mirror,1579430670832,read,1M,8,180,4095061524480,22738467269,86551.257251,84.345266,0,0,0,0
mirror,1579439035050,read,2M,12,180,2649854312448,14646228872,37551.973641,18.279124,0,0,0,0
mirror,1579330302557,read,2M,1,180,594200756224,3299538866,100949.861506,49.247859,0,0,0,0
mirror,1579377167340,read,2M,2,180,1234572410880,6855422161,104923.454016,51.204678,0,0,0,0
mirror,1579385315696,read,2M,4,180,1404395585536,7796480278,59632.337947,29.06947,0,0,0,0
mirror,1579430852582,read,2M,8,180,4051269844992,22454038215,85247.755947,41.427756,0,0,0,0
mirror,1579438125122,read,32k,12,180,2468962205696,13708612325,34868.197997,1089.604629,0,0,0,0
mirror,1579329398259,read,32k,1,180,620727631872,3447682384,105189.760751,3287.15255,0,0,0,0
mirror,1579376262750,read,32k,2,180,1215699517440,6751523174,103024.54969,3219.49542,0,0,0,0
mirror,1579384410225,read,32k,4,180,1404049391616,7796376209,59487.577129,1858.961658,0,0,0,0
mirror,1579429945544,read,32k,8,180,3871700287488,21503233996,82022.153946,2563.158823,0,0,0,0
mirror,1579437579961,read,4k,12,180,1413623402496,7852372739,19997.015793,4999.221039,0,0,0,0
mirror,1579328855695,read,4k,1,180,614802587648,3414792117,104226.141017,26056.518889,0,0,0,0
mirror,1579375720016,read,4k,2,180,1158197018624,6432855405,98195.13462,24548.760787,0,0,0,0
mirror,1579383866958,read,4k,4,180,1425422163968,7914395291,60397.393688,15099.319903,0,0,0,0
mirror,1579429401521,read,4k,8,180,1610862526464,8948540260,34079.660702,8519.81074,0,0,0,0
mirror,1579438670434,read,512k,12,180,2556868689920,14185754096,36110.220309,70.476826,0,0,0,0
mirror,1579329940826,read,512k,1,180,594721898496,3302561089,100801.622801,196.8556,0,0,0,0
mirror,1579376805449,read,512k,2,180,1208682545152,6713970532,102506.90279,200.176068,0,0,0,0
mirror,1579384953484,read,512k,4,180,1394648023040,7742237894,59095.133082,115.379288,0,0,0,0
mirror,1579430489511,read,512k,8,180,4039068614656,22433287871,85266.746714,166.41498,0,0,0,0
mirror,1579438306835,read,64k,12,180,2474716692480,13740792295,34932.973025,545.80057,0,0,0,0
mirror,1579329579112,read,64k,1,180,599000481792,3326412929,101504.272309,1585.989844,0,0,0,0
mirror,1579376443669,read,64k,2,180,1196597575680,6643741154,101412.716147,1584.548033,0,0,0,0
mirror,1579384591324,read,64k,4,180,1366191833088,7585782447,57908.135897,904.788183,0,0,0,0
mirror,1579430126902,read,64k,8,180,4002199896064,22225553645,84758.189566,1324.2987,0,0,0,0
mirror,1579437761650,read,8k,12,180,2455112278016,13638906482,34681.589995,4335.164799,0,0,0,0
mirror,1579329036560,read,8k,1,180,625143529472,3471573119,105933.298009,13241.647136,0,0,0,0
mirror,1579375900932,read,8k,2,180,1186869567488,6592364722,100597.529744,12574.66771,0,0,0,0
mirror,1579384048047,read,8k,4,180,1432389648384,7953478413,60702.883577,7587.836547,0,0,0,0
mirror,1579429582868,read,8k,8,180,2644733583360,14692392981,55991.724049,6998.886575,0,0,0,0
mirror,1579440125237,write,128k,12,180,0,0,0,0,1340436250624,7446702576,18840.121162,147.135742
mirror,1579331387852,write,128k,1,180,0,0,0,0,283888844800,1576888673,48024.567185,375.161035
mirror,1579378253014,write,128k,2,180,0,0,0,0,563657179136,3131376583,47682.049752,372.471756
mirror,1579386402171,write,128k,4,180,0,0,0,0,940809125888,5226339908,39808.030997,310.968111
mirror,1579431940886,write,128k,8,180,0,0,0,0,1576789475328,8759357572,33311.98744,260.213532
mirror,1579439580098,write,16k,12,180,0,0,0,0,524526256128,2911301367,7396.35036,462.235487
mirror,1579330845165,write,16k,1,180,0,0,0,0,106417618944,591021837,18028.863628,1126.779514
