zfs_config,timestamp,pattern,blocksize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579501291474,,,,,5284167680,29353388,2381.331401,74.37987,5294129152,29408724,2386.243682,74.533272
raidz1,1579467812633,,,,,2885812224,16032022,15640.088889,488.608333,2876899328,15982507,15590.316667,487.055556
raidz1,1579475947410,,,,,2678882304,14882018,7269.973538,226.983287,2681372672,14895852,7282.584958,227.377437
raidz1,1579484082258,,,,,4011819008,22286397,5446.372822,169.963763,4032102400,22399075,5473.568641,170.814634
raidz1,1579492688023,,,,,4359913472,24217974,2951.358386,92.169798,4362698752,24233445,2953.874347,92.248869
raidz1,1579500749189,,,,,278712320,1548272,126.897146,31.630337,281014272,1561060,127.81816,31.860613
raidz1,1579467270484,,,,,105324544,584996,570.835655,142.481894,105021440,583313,569.264624,142.091922
raidz1,1579475405242,,,,,88731648,492849,240.920168,60.012605,89227264,495602,242.432773,60.390756
raidz1,1579483540085,,,,,145260544,806944,197.946554,49.364276,146292736,812678,199.43772,49.737509
raidz1,1579492145669,,,,,225046528,1250154,153.431193,38.256175,226185216,1256479,154.136909,38.432604
raidz1,1579501833841,,,,,38707134464,214978725,17443.967569,34.020999,38966132736,216417196,17576.057396,34.279048
raidz1,1579468354832,,,,,8584167424,47684520,46473.097493,90.534819,8578400256,47652484,46481.771588,90.551532
raidz1,1579476489673,,,,,12298223616,68317012,33236.059889,64.576602,12389449728,68823776,33501.388579,65.094708
raidz1,1579484624504,,,,,20649607168,114706657,27970.567341,54.5806,20793262080,115504647,28141.849965,54.915562
raidz1,1579493230407,,,,,33024376832,183440225,22340.292598,43.47486,33108787200,183909098,22376.403282,43.545391
raidz1,1579501472265,,,,,12197888000,67758515,5504.366589,85.952204,12214861824,67852804,5510.016933,86.040362
raidz1,1579467993346,,,,,6685327360,37139882,36223.986111,565.747222,6671695872,37064153,36155.580556,564.680556
raidz1,1579476128135,,,,,6583287808,36572602,17828.413889,278.429167,6587875328,36598087,17841.218056,278.629167
raidz1,1579484262982,,,,,8706654208,48367076,11805.899791,184.336117,8711634944,48394745,11816.05428,184.494781
raidz1,1579492868795,,,,,10056892416,55865727,6809.582811,106.315588,10064756736,55909413,6813.7881,106.380654
raidz1,1579500929953,,,,,796499968,4424434,359.14595,44.817272,800366592,4445912,360.917132,45.038873
raidz1,1579467451187,,,,,399196160,2217694,2161.775,269.966667,396664832,2203632,2147.691667,268.205556
raidz1,1579475585966,,,,,350830592,1948636,947.986111,118.175,351535104,1952549,949.695833,118.3875
raidz1,1579483720832,,,,,551100416,3061515,744.708131,92.966644,554680320,3081403,749.326616,93.543433
raidz1,1579492326418,,,,,658079744,3655734,445.740922,55.601606,658030592,3655461,445.475559,55.568785
raidz1,1579504907301,,,,,0,0,0,0,224028524544,1244582171,101173.008337,790.382353
raidz1,1579471427751,,,,,0,0,0,0,275708641280,1531706164,1497545.172702,11699.548747
raidz1,1579479562547,,,,,0,0,0,0,241401069568,1341109602,654096.779944,5110.100279
raidz1,1579487697584,,,,,0,0,0,0,275958333440,1531961392,373943.859527,2921.408206
raidz1,1579496303699,,,,,0,0,0,0,257685585920,1431578635,174661.579861,1364.513889
raidz1,1579504365007,,,,,0,0,0,0,4752261120,26399397,2148.412477,134.203445
raidz1,1579470885573,,,,,0,0,0,0,2311356416,12840797,12550.077994,784.311978
raidz1,1579479020346,,,,,0,0,0,0,2291531776,12730237,6227.624826,389.069735
raidz1,1579487155228,,,,,0,0,0,0,3128229888,17378089,4241.663649,265.025766
raidz1,1579495761448,,,,,0,0,0,0,4028235776,22377347,2736.810622,171.024808
raidz1,1579505269231,,,,,0,0,0,0,264608153600,1470012630,119066.059546,116.240964
raidz1,1579471789558,,,,,0,0,0,0,273672044544,1520391800,1483818.458333,1448.997222
raidz1,1579479924257,,,,,0,0,0,0,246842130432,1371337550,667928.387187,652.249304
raidz1,1579488059256,,,,,0,0,0,0,269542752256,1497451415,365234.799582,356.64231
raidz1,1579496665524,,,,,0,0,0,0,278906535936,1549368856,188394.379514,183.937153
raidz1,1579505450477,,,,,0,0,0,0,268454330368,1490245587,120777.979692,58.90733
raidz1,1579471970555,,,,,0,0,0,0,273420386304,1518993707,1482733.841226,723.963788
raidz1,1579480105250,,,,,0,0,0,0,251565965312,1397565403,682475.478382,333.227336
raidz1,1579488240391,,,,,0,0,0,0,278564700160,1547074570,376333.866667,183.725694
raidz1,1579496846753,,,,,0,0,0,0,279126736896,1550549038,188051.754435,91.761043
raidz1,1579504545766,,,,,0,0,0,0,10394861568,57741852,4713.816103,147.265344
raidz1,1579471066298,,,,,0,0,0,0,7955218432,44194184,43126.219444,1347.586111
raidz1,1579479201074,,,,,0,0,0,0,4471652352,24841685,12155.384937,379.779637
raidz1,1579487335990,,,,,0,0,0,0,6973685760,38735166,9459.380919,295.516713
raidz1,1579495942169,,,,,0,0,0,0,9053798400,50294688,6141.806834,191.888424
raidz1,1579504003483,,,,,0,0,0,0,796139520,4422579,356.953472,89.136343
raidz1,1579470524131,,,,,0,0,0,0,916201472,5089781,4965.291667,1241.208333
raidz1,1579478658838,,,,,0,0,0,0,400539648,2225071,1083.760779,270.821975
raidz1,1579486793763,,,,,0,0,0,0,544776192,3026366,735.843056,183.888889
raidz1,1579495399946,,,,,0,0,0,0,680583168,3780513,460.065831,114.968304
raidz1,1579505088269,,,,,0,0,0,0,259648913408,1441989267,116915.397079,228.312239
