zfs_config,timestamp,pattern,config,blocksize,filesize,numjobs,runtime_secs,read_io_bytes,read_bw_bytes,read_bw_mean,read_iops_mean,write_io_bytes,write_bw_bytes,write_bw_mean,write_iops_mean
raidz1,1579483540085,randrw,mach2_zfs_raidz1,4k,64G,4,180,145260544,806944,197.946554,49.364276,146292736,812678,199.43772,49.737509
raidz1,1579492145669,randrw,mach2_zfs_raidz1,4k,64G,8,180,225046528,1250154,153.431193,38.256175,226185216,1256479,154.136909,38.432604
raidz1,1579501833841,randrw,mach2_zfs_raidz1,512k,64G,12,180,38707134464,214978725,17443.967569,34.020999,38966132736,216417196,17576.057396,34.279048
raidz1,1579595163542,randrw,mach2_zfs_raidz1,512k,64G,16,180,47372566528,263031873,16016.848809,31.21794,47660924928,264632957,16129.126139,31.437281
raidz1,1579468354832,randrw,mach2_zfs_raidz1,512k,64G,1,180,8584167424,47684520,46473.097493,90.534819,8578400256,47652484,46481.771588,90.551532
raidz1,1579604232375,randrw,mach2_zfs_raidz1,512k,64G,24,180,44907888640,249359434,10103.828867,19.689234,45133856768,250614164,10154.60181,19.788385
raidz1,1579612836572,randrw,mach2_zfs_raidz1,512k,64G,28,180,45427458048,252243040,8801.968677,17.138773,45519732736,252755409,8810.675446,17.155693
raidz1,1579476489673,randrw,mach2_zfs_raidz1,512k,64G,2,180,12298223616,68317012,33236.059889,64.576602,12389449728,68823776,33501.388579,65.094708
raidz1,1579484624504,randrw,mach2_zfs_raidz1,512k,64G,4,180,20649607168,114706657,27970.567341,54.5806,20793262080,115504647,28141.849965,54.915562
raidz1,1579493230407,randrw,mach2_zfs_raidz1,512k,64G,8,180,33024376832,183440225,22340.292598,43.47486,33108787200,183909098,22376.403282,43.545391
raidz1,1579501472265,randrw,mach2_zfs_raidz1,64k,64G,12,180,12197888000,67758515,5504.366589,85.952204,12214861824,67852804,5510.016933,86.040362
raidz1,1579594801887,randrw,mach2_zfs_raidz1,64k,64G,16,180,15022751744,83437945,5083.862315,79.396867,15034220544,83501644,5087.845257,79.459182
raidz1,1579467993346,randrw,mach2_zfs_raidz1,64k,64G,1,180,6685327360,37139882,36223.986111,565.747222,6671695872,37064153,36155.580556,564.680556
raidz1,1579603870675,randrw,mach2_zfs_raidz1,64k,64G,24,180,15584067584,86563245,3517.481443,54.900756,15659892736,86984423,3534.969863,55.173959
raidz1,1579612474825,randrw,mach2_zfs_raidz1,64k,64G,28,180,15399256064,85509143,2971.344086,46.384209,15463612416,85866501,2982.4999,46.558332
raidz1,1579476128135,randrw,mach2_zfs_raidz1,64k,64G,2,180,6583287808,36572602,17828.413889,278.429167,6587875328,36598087,17841.218056,278.629167
raidz1,1579484262982,randrw,mach2_zfs_raidz1,64k,64G,4,180,8706654208,48367076,11805.899791,184.336117,8711634944,48394745,11816.05428,184.494781
raidz1,1579492868795,randrw,mach2_zfs_raidz1,64k,64G,8,180,10056892416,55865727,6809.582811,106.315588,10064756736,55909413,6813.7881,106.380654
raidz1,1579500929953,randrw,mach2_zfs_raidz1,8k,64G,12,180,796499968,4424434,359.14595,44.817272,800366592,4445912,360.917132,45.038873
raidz1,1579594259483,randrw,mach2_zfs_raidz1,8k,64G,16,180,1026752512,5703388,347.07558,43.304416,1032011776,5732602,348.799302,43.52007
raidz1,1579467451187,randrw,mach2_zfs_raidz1,8k,64G,1,180,399196160,2217694,2161.775,269.966667,396664832,2203632,2147.691667,268.205556
raidz1,1579603328322,randrw,mach2_zfs_raidz1,8k,64G,24,180,1054318592,5856154,238.230319,29.716378,1060397056,5889916,239.65089,29.893978
raidz1,1579611932407,randrw,mach2_zfs_raidz1,8k,64G,28,180,1042874368,5792105,201.904144,25.19483,1045430272,5806300,202.480386,25.266848
raidz1,1579475585966,randrw,mach2_zfs_raidz1,8k,64G,2,180,350830592,1948636,947.986111,118.175,351535104,1952549,949.695833,118.3875
raidz1,1579483720832,randrw,mach2_zfs_raidz1,8k,64G,4,180,551100416,3061515,744.708131,92.966644,554680320,3081403,749.326616,93.543433
raidz1,1579492326418,randrw,mach2_zfs_raidz1,8k,64G,8,180,658079744,3655734,445.740922,55.601606,658030592,3655461,445.475559,55.568785
raidz1,1579504907301,randwrite,mach2_zfs_raidz1,128k,64G,12,180,0,0,0,0,224028524544,1244582171,101173.008337,790.382353
raidz1,1579598237443,randwrite,mach2_zfs_raidz1,128k,64G,16,180,0,0,0,0,219191967744,1217726388,74170.843799,579.430684
raidz1,1579471427751,randwrite,mach2_zfs_raidz1,128k,64G,1,180,0,0,0,0,275708641280,1531706164,1497545.172702,11699.548747
raidz1,1579607306700,randwrite,mach2_zfs_raidz1,128k,64G,24,180,0,0,0,0,185264373760,1029212213,41768.511127,326.280134
raidz1,1579615911602,randwrite,mach2_zfs_raidz1,128k,64G,28,180,0,0,0,0,168595292160,936614494,32608.186606,254.718104
raidz1,1579479562547,randwrite,mach2_zfs_raidz1,128k,64G,2,180,0,0,0,0,241401069568,1341109602,654096.779944,5110.100279
raidz1,1579487697584,randwrite,mach2_zfs_raidz1,128k,64G,4,180,0,0,0,0,275958333440,1531961392,373943.859527,2921.408206
raidz1,1579496303699,randwrite,mach2_zfs_raidz1,128k,64G,8,180,0,0,0,0,257685585920,1431578635,174661.579861,1364.513889
raidz1,1579504365007,randwrite,mach2_zfs_raidz1,16k,64G,12,180,0,0,0,0,4752261120,26399397,2148.412477,134.203445
raidz1,1579597695008,randwrite,mach2_zfs_raidz1,16k,64G,16,180,0,0,0,0,5366677504,29811562,1814.642795,113.384736
